#  %C   command line and arguments
#  %c   involuntary context switches
#  %E   elapsed real time (wall clock) in [hour:]min:sec
#  %e   elapsed real time (wall clock) in seconds
#  %F   major page faults
#  %M   maximum resident set size in KB
#  %P   percent of CPU this job got
#  %R   minor page faults
#  %S   system (kernel) time in seconds
#  %U   user time in seconds
#  %w   voluntary context switches
#  %x   exit status of command
# %C ; %c ; %E ; %e ; %F ; %M ; %P ; %R ; %R ; %S ; %U ; %w ; %x
cyclonedx-py environment -o /dev/null --pyproject tests/_data/infiles/environment/editable-self/pyproject.toml tests/_data/infiles/environment/editable-self/.venv ; 141 ; 0:01.74 ; 1.74 ; 0 ; 38480 ; 99% ; 9011 ; 9011 ; 0.16 ; 1.56 ; 5 ; 0
cyclonedx-py environment -o /dev/null --pyproject tests/_data/infiles/environment/local/pyproject.toml tests/_data/infiles/environment/local/.venv ; 19 ; 0:01.51 ; 1.51 ; 0 ; 38500 ; 99% ; 8804 ; 8804 ; 0.15 ; 1.35 ; 5 ; 0
cyclonedx-py environment -o /dev/null --pyproject tests/_data/infiles/environment/no-deps/pyproject.toml tests/_data/infiles/environment/no-deps/.venv ; 34 ; 0:01.63 ; 1.63 ; 0 ; 39168 ; 99% ; 9005 ; 9005 ; 0.15 ; 1.47 ; 5 ; 0
cyclonedx-py environment -o /dev/null --pyproject tests/_data/infiles/environment/via-pipenv/pyproject.toml tests/_data/infiles/environment/via-pipenv/.venv ; 163 ; 0:01.68 ; 1.68 ; 0 ; 39092 ; 98% ; 9025 ; 9025 ; 0.12 ; 1.53 ; 4 ; 0
cyclonedx-py environment -o /dev/null --pyproject tests/_data/infiles/environment/via-poetry/pyproject.toml tests/_data/infiles/environment/via-poetry/.venv ; 703 ; 0:01.97 ; 1.97 ; 0 ; 39160 ; 94% ; 9024 ; 9024 ; 0.14 ; 1.71 ; 7 ; 0
cyclonedx-py environment -o /dev/null --pyproject tests/_data/infiles/environment/with-extras/pyproject.toml tests/_data/infiles/environment/with-extras/.venv ; 319 ; 0:02.39 ; 2.39 ; 0 ; 39124 ; 94% ; 9034 ; 9034 ; 0.17 ; 2.09 ; 5 ; 0
cyclonedx-py environment -o /dev/null --pyproject tests/_data/infiles/environment/with-urls/pyproject.toml tests/_data/infiles/environment/with-urls/.venv ; 187 ; 0:01.82 ; 1.82 ; 0 ; 38552 ; 98% ; 8796 ; 8796 ; 0.13 ; 1.66 ; 8 ; 0
cyclonedx-py pipenv -o /dev/null --pyproject tests/_data/infiles/pipenv/category-deps/pyproject.toml tests/_data/infiles/pipenv/category-deps ; 22 ; 0:01.63 ; 1.63 ; 0 ; 38400 ; 99% ; 7696 ; 7696 ; 0.14 ; 1.49 ; 1 ; 0
cyclonedx-py pipenv -o /dev/null --pyproject tests/_data/infiles/pipenv/default-and-dev/pyproject.toml tests/_data/infiles/pipenv/default-and-dev ; 14 ; 0:01.40 ; 1.40 ; 0 ; 38508 ; 99% ; 7699 ; 7699 ; 0.13 ; 1.26 ; 1 ; 0
cyclonedx-py pipenv -o /dev/null --pyproject tests/_data/infiles/pipenv/editable-self/pyproject.toml tests/_data/infiles/pipenv/editable-self ; 14 ; 0:01.45 ; 1.45 ; 0 ; 38460 ; 99% ; 7694 ; 7694 ; 0.09 ; 1.35 ; 1 ; 0
cyclonedx-py pipenv -o /dev/null --pyproject tests/_data/infiles/pipenv/local/pyproject.toml tests/_data/infiles/pipenv/local ; 504 ; 0:01.86 ; 1.86 ; 0 ; 38100 ; 84% ; 7695 ; 7695 ; 0.14 ; 1.43 ; 1 ; 0
cyclonedx-py pipenv -o /dev/null --pyproject tests/_data/infiles/pipenv/no-deps/pyproject.toml tests/_data/infiles/pipenv/no-deps ; 247 ; 0:01.78 ; 1.78 ; 0 ; 39240 ; 82% ; 7893 ; 7893 ; 0.10 ; 1.35 ; 1 ; 0
cyclonedx-py pipenv -o /dev/null --pyproject tests/_data/infiles/pipenv/private-packages/pyproject.toml tests/_data/infiles/pipenv/private-packages ; 13 ; 0:01.12 ; 1.12 ; 0 ; 38284 ; 99% ; 7698 ; 7698 ; 0.10 ; 1.02 ; 1 ; 0
cyclonedx-py pipenv -o /dev/null --pyproject tests/_data/infiles/pipenv/with-extras/pyproject.toml tests/_data/infiles/pipenv/with-extras ; 13 ; 0:01.32 ; 1.32 ; 0 ; 38704 ; 99% ; 7749 ; 7749 ; 0.09 ; 1.22 ; 1 ; 0
cyclonedx-py pipenv -o /dev/null --pyproject tests/_data/infiles/pipenv/with-urls/pyproject.toml tests/_data/infiles/pipenv/with-urls ; 12 ; 0:01.18 ; 1.18 ; 0 ; 38444 ; 99% ; 7712 ; 7712 ; 0.11 ; 1.07 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/group-deps/lock11 ; 7 ; 0:01.19 ; 1.19 ; 0 ; 38280 ; 99% ; 7688 ; 7688 ; 0.09 ; 1.09 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/group-deps/lock20 ; 12 ; 0:01.16 ; 1.16 ; 0 ; 38324 ; 99% ; 7687 ; 7687 ; 0.10 ; 1.06 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/local/lock10 ; 10 ; 0:01.18 ; 1.18 ; 0 ; 38440 ; 99% ; 7680 ; 7680 ; 0.12 ; 1.06 ; 1 ; 0
